name,Available in,ID,Gender,sizes,Quantities
Air Jordan 11 CMFT Low,Nike Adapt,CZ0907-116,Big Kids' Shoes,5.5Y,201
Air Jordan 11 CMFT Low,Nike Adapt,CZ0907-116,Big Kids' Shoes,7Y,343
Air Jordan 11 CMFT Low,Nike Adapt,CZ0907-116,Big Kids' Shoes,6.5Y,269
Air Jordan 11 CMFT Low,Nike Adapt,CZ0907-116,Big Kids' Shoes,4.5Y,55
Air Jordan 11 CMFT Low,Nike Adapt,CZ0907-116,Big Kids' Shoes,6Y,217
Air Jordan 11 CMFT Low,Nike Adapt,CZ0907-116,Big Kids' Shoes,5Y,79
Air Jordan 11 CMFT Low,Nike Adapt,CZ0907-116,Big Kids' Shoes,4Y,16
Air Jordan 11 CMFT Low,Rebound Returns,CZ0907-116,Big Kids' Shoes,7Y,1
Air Jordan 11 CMFT Low,Rebound Returns,CZ0907-116,Big Kids' Shoes,6.5Y,1
Air Jordan 4 Retro SE,Rebound Returns,DV3742-021,Men's Shoes,16,18
Air Jordan 4 Retro SE,Rebound Returns,DV3742-021,Men's Shoes,3.5,112
Air Jordan 4 Retro SE,Rebound Returns,DV3742-021,Men's Shoes,4.5,42
Air Jordan 4 Retro SE,Rebound Returns,DV3742-021,Men's Shoes,17,163
Air Jordan 4 Retro SE,Rebound Returns,DV3742-021,Men's Shoes,18,152
Air Jordan 4 Retro SE,Rebound Returns,DV3742-021,Men's Shoes,4,124
Air Jordan 4 Retro SE,NALC Memphis,DV3742-021,Men's Shoes,17,1
Air Jordan Dub Zero,Rebound Returns,311046-107,Men's Shoes,9.5,2
Air Jordan Dub Zero,Rebound Returns,311046-107,Men's Shoes,12,1
Air Jordan Dub Zero,Rebound Returns,311046-107,Men's Shoes,13,1
Air Jordan Dub Zero,Nike Adapt,311046-107,Men's Shoes,7,210
Air Jordan Dub Zero,Nike Adapt,311046-107,Men's Shoes,9.5,78
Air Jordan Dub Zero,Nike Adapt,311046-107,Men's Shoes,9,29
Air Jordan Dub Zero,Nike Adapt,311046-107,Men's Shoes,7.5,24
Air Jordan Dub Zero,Nike Adapt,311046-107,Men's Shoes,10.5,38
Air Jordan Dub Zero,Nike Adapt,311046-107,Men's Shoes,14,57
Air Jordan Dub Zero,Nike Adapt,311046-107,Men's Shoes,12,32
Jordan Max Aura 4,Rebound Returns,DQ8404-005,Big Kids' Shoes,6Y,2
Jordan Max Aura 4,Nike Adapt,DQ8404-005,Big Kids' Shoes,5Y,61
Jordan Max Aura 4,Nike Adapt,DQ8404-005,Big Kids' Shoes,5.5Y,60
Jordan Max Aura 4,Nike Adapt,DQ8404-005,Big Kids' Shoes,4.5Y,45
Jordan Max Aura 4,Nike Adapt,DQ8404-005,Big Kids' Shoes,6Y,82
Jordan Max Aura 4,Nike Adapt,DQ8404-005,Big Kids' Shoes,7Y,102
Jordan Max Aura 4,Nike Adapt,DQ8404-005,Big Kids' Shoes,6.5Y,71
Jordan Max Aura 4,Nike Adapt,DQ8404-005,Big Kids' Shoes,4Y,48
